id,day,date,teamid,dept,l_id,p_id,product,unit_sold,c_id,client,price,cogs,trxid,tpe,sales_amount
728,3,2025-01-03,400918,RTL,4,2,"Hot Chocolate",623,,,35.00,8099.00,,LAN_Retail,21805
729,3,2025-01-03,400918,RTL,4,3,"Bubble Milk Tea",265,,,38.00,4240.00,,LAN_Retail,10070
730,3,2025-01-03,400918,RTL,1,1,Americano,558,,,32.00,5580.00,,LAN_Retail,17856
731,3,2025-01-03,400918,RTL,1,2,"Hot Chocolate",282,,,35.00,3666.00,,LAN_Retail,9870
732,3,2025-01-03,400918,RTL,1,3,"Bubble Milk Tea",114,,,38.00,1824.00,,LAN_Retail,4332
748,3,2025-01-03,400919,RTL,6,1,Americano,44,,,32.00,440.00,,LAN_Retail,1408
749,3,2025-01-03,400919,RTL,6,2,"Hot Chocolate",120,,,35.00,1560.00,,LAN_Retail,4200
750,3,2025-01-03,400919,RTL,6,3,"Bubble Milk Tea",260,,,38.00,4160.00,,LAN_Retail,9880
751,3,2025-01-03,400919,RTL,2,1,Americano,628,,,32.00,6280.00,,LAN_Retail,20096
753,3,2025-01-03,400919,RTL,2,3,"Bubble Milk Tea",278,,,38.00,4448.00,,LAN_Retail,10564
754,3,2025-01-03,400919,RTL,7,1,Americano,325,,,32.00,3250.00,,LAN_Retail,10400
755,3,2025-01-03,400919,RTL,5,1,Americano,224,,,32.00,2240.00,,LAN_Retail,7168
756,3,2025-01-03,400919,RTL,5,2,"Hot Chocolate",114,,,35.00,1482.00,,LAN_Retail,3990
757,3,2025-01-03,400919,RTL,5,3,"Bubble Milk Tea",485,,,38.00,7760.00,,LAN_Retail,18430
758,3,2025-01-03,400919,RTL,4,2,"Hot Chocolate",635,,,35.00,8255.00,,LAN_Retail,22225
759,3,2025-01-03,400919,RTL,4,3,"Bubble Milk Tea",285,,,38.00,4560.00,,LAN_Retail,10830
760,3,2025-01-03,400919,RTL,3,1,Americano,175,,,32.00,1750.00,,LAN_Retail,5600
761,3,2025-01-03,400919,RTL,3,2,"Hot Chocolate",104,,,35.00,1352.00,,LAN_Retail,3640
762,3,2025-01-03,400919,RTL,3,3,"Bubble Milk Tea",415,,,38.00,6640.00,,LAN_Retail,15770
763,3,2025-01-03,400919,RTL,1,1,Americano,582,,,32.00,5820.00,,LAN_Retail,18624
764,3,2025-01-03,400919,RTL,1,2,"Hot Chocolate",293,,,35.00,3809.00,,LAN_Retail,10255
765,3,2025-01-03,400919,RTL,1,3,"Bubble Milk Tea",128,,,38.00,2048.00,,LAN_Retail,4864
798,4,2025-01-04,400917,RTL,3,1,Americano,409,,,32.00,4090.00,,LAN_Retail,13088
799,4,2025-01-04,400917,RTL,3,3,"Bubble Milk Tea",828,,,38.00,13248.00,,LAN_Retail,31464
800,4,2025-01-04,400917,RTL,1,1,Americano,1105,,,32.00,11050.00,,LAN_Retail,35360
801,4,2025-01-04,400917,RTL,1,2,"Hot Chocolate",558,,,35.00,7254.00,,LAN_Retail,19530
802,4,2025-01-04,400917,RTL,7,1,Americano,409,,,32.00,4090.00,,LAN_Retail,13088
803,4,2025-01-04,400917,RTL,7,2,"Hot Chocolate",247,,,35.00,3211.00,,LAN_Retail,8645
804,4,2025-01-04,400917,RTL,2,1,Americano,1203,,,30.00,12030.00,,LAN_Retail,36090
805,4,2025-01-04,400917,RTL,2,2,"Hot Chocolate",396,,,32.00,5148.00,,LAN_Retail,12672
806,4,2025-01-04,400917,RTL,2,3,"Bubble Milk Tea",533,,,35.00,8528.00,,LAN_Retail,18655
807,4,2025-01-04,400917,RTL,5,1,Americano,494,,,32.00,4940.00,,LAN_Retail,15808
808,4,2025-01-04,400917,RTL,5,3,"Bubble Milk Tea",902,,,38.00,14432.00,,LAN_Retail,34276
809,4,2025-01-04,400917,RTL,6,1,Americano,92,,,32.00,920.00,,LAN_Retail,2944
810,4,2025-01-04,400917,RTL,6,2,"Hot Chocolate",252,,,35.00,3276.00,,LAN_Retail,8820
811,4,2025-01-04,400917,RTL,6,3,"Bubble Milk Tea",537,,,38.00,8592.00,,LAN_Retail,20406
825,4,2025-01-04,400918,RTL,6,1,Americano,45,,,32.00,450.00,,LAN_Retail,1440
826,4,2025-01-04,400918,RTL,6,2,"Hot Chocolate",126,,,35.00,1638.00,,LAN_Retail,4410
827,4,2025-01-04,400918,RTL,6,3,"Bubble Milk Tea",282,,,35.00,4512.00,,LAN_Retail,9870
828,4,2025-01-04,400918,RTL,4,1,Americano,160,,,32.00,1600.00,,LAN_Retail,5120
829,4,2025-01-04,400918,RTL,4,2,"Hot Chocolate",787,,,32.00,10231.00,,LAN_Retail,25184
830,4,2025-01-04,400918,RTL,4,3,"Bubble Milk Tea",259,,,38.00,4144.00,,LAN_Retail,9842
831,4,2025-01-04,400918,RTL,1,1,Americano,811,,,30.00,8110.00,,LAN_Retail,24330
832,4,2025-01-04,400918,RTL,1,2,"Hot Chocolate",282,,,35.00,3666.00,,LAN_Retail,9870
833,4,2025-01-04,400918,RTL,1,3,"Bubble Milk Tea",130,,,38.00,2080.00,,LAN_Retail,4940
834,4,2025-01-04,400918,RTL,7,1,Americano,251,,,32.00,2510.00,,LAN_Retail,8032
835,4,2025-01-04,400918,RTL,7,2,"Hot Chocolate",146,,,35.00,1898.00,,LAN_Retail,5110
836,4,2025-01-04,400918,RTL,7,3,"Bubble Milk Tea",81,,,38.00,1296.00,,LAN_Retail,3078
852,4,2025-01-04,400919,RTL,6,1,Americano,46,,,32.00,460.00,,LAN_Retail,1472
853,4,2025-01-04,400919,RTL,6,2,"Hot Chocolate",131,,,35.00,1703.00,,LAN_Retail,4585
854,4,2025-01-04,400919,RTL,6,3,"Bubble Milk Tea",263,,,38.00,4208.00,,LAN_Retail,9994
855,4,2025-01-04,400919,RTL,2,1,Americano,634,,,32.00,6340.00,,LAN_Retail,20288
856,4,2025-01-04,400919,RTL,2,3,"Bubble Milk Tea",264,,,38.00,4224.00,,LAN_Retail,10032
857,4,2025-01-04,400919,RTL,7,1,Americano,229,,,32.00,2290.00,,LAN_Retail,7328
858,4,2025-01-04,400919,RTL,5,1,Americano,294,,,32.00,2940.00,,LAN_Retail,9408
859,4,2025-01-04,400919,RTL,5,2,"Hot Chocolate",178,,,35.00,2314.00,,LAN_Retail,6230
860,4,2025-01-04,400919,RTL,5,3,"Bubble Milk Tea",522,,,38.00,8352.00,,LAN_Retail,19836
861,4,2025-01-04,400919,RTL,4,2,"Hot Chocolate",1162,,,26.00,15106.00,,LAN_Retail,30212
862,4,2025-01-04,400919,RTL,4,3,"Bubble Milk Tea",316,,,29.00,5056.00,,LAN_Retail,9164
863,4,2025-01-04,400919,RTL,3,1,Americano,257,,,30.00,2570.00,,LAN_Retail,7710
865,4,2025-01-04,400919,RTL,3,2,"Hot Chocolate",120,,,34.00,1560.00,,LAN_Retail,4080
866,4,2025-01-04,400919,RTL,3,3,"Bubble Milk Tea",418,,,34.00,6688.00,,LAN_Retail,14212
867,4,2025-01-04,400919,RTL,1,1,Americano,886,,,30.00,8860.00,,LAN_Retail,26580
868,4,2025-01-04,400919,RTL,1,2,"Hot Chocolate",360,,,33.00,4680.00,,LAN_Retail,11880
869,4,2025-01-04,400919,RTL,1,3,"Bubble Milk Tea",119,,,36.00,1904.00,,LAN_Retail,4284
913,5,2025-01-05,400917,RTL,3,1,Americano,1311,,,30.00,13110.00,,LAN_Retail,39330
914,5,2025-01-05,400917,RTL,3,3,"Bubble Milk Tea",3774,,,36.00,60384.00,,LAN_Retail,135864
915,5,2025-01-05,400917,RTL,1,1,Americano,8138,,,28.00,81380.00,,LAN_Retail,227864
916,5,2025-01-05,400917,RTL,1,2,"Hot Chocolate",4100,,,30.00,53300.00,,LAN_Retail,123000
917,5,2025-01-05,400917,RTL,7,1,Americano,2180,,,32.00,21800.00,,LAN_Retail,69760
918,5,2025-01-05,400917,RTL,7,2,"Hot Chocolate",1548,,,35.00,20124.00,,LAN_Retail,54180
919,5,2025-01-05,400917,RTL,2,1,Americano,6235,,,27.00,62350.00,,LAN_Retail,168345
920,5,2025-01-05,400917,RTL,2,2,"Hot Chocolate",1424,,,32.00,18512.00,,LAN_Retail,45568
921,5,2025-01-05,400917,RTL,2,3,"Bubble Milk Tea",2894,,,35.00,46304.00,,LAN_Retail,101290
922,5,2025-01-05,400917,RTL,5,1,Americano,2181,,,32.00,21810.00,,LAN_Retail,69792
923,5,2025-01-05,400917,RTL,5,3,"Bubble Milk Tea",3979,,,38.00,63664.00,,LAN_Retail,151202
924,5,2025-01-05,400917,RTL,6,1,Americano,716,,,32.00,7160.00,,LAN_Retail,22912
925,5,2025-01-05,400917,RTL,6,2,"Hot Chocolate",1591,,,35.00,20683.00,,LAN_Retail,55685
926,5,2025-01-05,400917,RTL,6,3,"Bubble Milk Tea",2782,,,38.00,44512.00,,LAN_Retail,105716
942,5,2025-01-05,400918,RTL,6,1,Americano,256,,,32.00,2560.00,,LAN_Retail,8192
943,5,2025-01-05,400918,RTL,6,2,"Hot Chocolate",779,,,35.00,10127.00,,LAN_Retail,27265
944,5,2025-01-05,400918,RTL,6,3,"Bubble Milk Tea",1918,,,35.00,30688.00,,LAN_Retail,67130
945,5,2025-01-05,400918,RTL,4,1,Americano,926,,,32.00,9260.00,,LAN_Retail,29632
946,5,2025-01-05,400918,RTL,4,2,"Hot Chocolate",5272,,,32.00,68536.00,,LAN_Retail,168704
947,5,2025-01-05,400918,RTL,4,3,"Bubble Milk Tea",1820,,,38.00,29120.00,,LAN_Retail,69160
948,5,2025-01-05,400918,RTL,1,1,Americano,4849,,,30.00,48490.00,,LAN_Retail,145470
949,5,2025-01-05,400918,RTL,1,2,"Hot Chocolate",1636,,,35.00,21268.00,,LAN_Retail,57260
950,5,2025-01-05,400918,RTL,1,3,"Bubble Milk Tea",806,,,38.00,12896.00,,LAN_Retail,30628
951,5,2025-01-05,400918,RTL,7,1,Americano,1443,,,32.00,14430.00,,LAN_Retail,46176
952,5,2025-01-05,400918,RTL,7,2,"Hot Chocolate",851,,,35.00,11063.00,,LAN_Retail,29785
953,5,2025-01-05,400918,RTL,7,3,"Bubble Milk Tea",509,,,38.00,8144.00,,LAN_Retail,19342
971,5,2025-01-05,400919,RTL,6,1,Americano,534,,,20.00,5340.00,,LAN_Retail,10680
972,5,2025-01-05,400919,RTL,6,2,"Hot Chocolate",1542,,,20.00,20046.00,,LAN_Retail,30840
973,5,2025-01-05,400919,RTL,6,3,"Bubble Milk Tea",2287,,,20.00,36592.00,,LAN_Retail,45740
974,5,2025-01-05,400919,RTL,2,1,Americano,3350,,,32.00,33500.00,,LAN_Retail,107200
975,5,2025-01-05,400919,RTL,2,3,"Bubble Milk Tea",1868,,,38.00,29888.00,,LAN_Retail,70984
976,5,2025-01-05,400919,RTL,7,1,Americano,1950,,,30.00,19500.00,,LAN_Retail,58500
978,5,2025-01-05,400919,RTL,5,1,Americano,2091,,,30.00,20910.00,,LAN_Retail,62730
979,5,2025-01-05,400919,RTL,5,2,"Hot Chocolate",1456,,,20.00,18928.00,,LAN_Retail,29120
980,5,2025-01-05,400919,RTL,5,3,"Bubble Milk Tea",3612,,,20.00,57792.00,,LAN_Retail,72240
981,5,2025-01-05,400919,RTL,4,2,"Hot Chocolate",3429,,,35.00,44577.00,,LAN_Retail,120015
982,5,2025-01-05,400919,RTL,4,3,"Bubble Milk Tea",1854,,,38.00,29664.00,,LAN_Retail,70452
983,5,2025-01-05,400919,RTL,3,1,Americano,1144,,,32.00,11440.00,,LAN_Retail,36608
984,5,2025-01-05,400919,RTL,3,2,"Hot Chocolate",655,,,35.00,8515.00,,LAN_Retail,22925
985,5,2025-01-05,400919,RTL,3,3,"Bubble Milk Tea",2458,,,38.00,39328.00,,LAN_Retail,93404
986,5,2025-01-05,400919,RTL,1,1,Americano,3770,,,32.00,37700.00,,LAN_Retail,120640
987,5,2025-01-05,400919,RTL,1,2,"Hot Chocolate",1687,,,35.00,21931.00,,LAN_Retail,59045
988,5,2025-01-05,400919,RTL,1,3,"Bubble Milk Tea",753,,,38.00,12048.00,,LAN_Retail,28614
1048,6,2025-01-06,400917,RTL,3,2,"Hot Chocolate",1000,,,35.00,13000.00,,LAN_Retail,35000
1049,6,2025-01-06,400917,RTL,3,3,"Bubble Milk Tea",3707,,,36.00,59312.00,,LAN_Retail,133452
1050,6,2025-01-06,400917,RTL,1,1,Americano,8138,,,28.00,81380.00,,LAN_Retail,227864
1051,6,2025-01-06,400917,RTL,1,2,"Hot Chocolate",4224,,,30.00,54912.00,,LAN_Retail,126720
1052,6,2025-01-06,400917,RTL,7,1,Americano,3014,,,30.00,30140.00,,LAN_Retail,90420
1053,6,2025-01-06,400917,RTL,7,2,"Hot Chocolate",1318,,,35.00,17134.00,,LAN_Retail,46130
1054,6,2025-01-06,400917,RTL,2,1,Americano,7600,,,27.00,76000.00,,LAN_Retail,205200
1055,6,2025-01-06,400917,RTL,2,2,"Hot Chocolate",2163,,,32.00,28119.00,,LAN_Retail,69216
1056,6,2025-01-06,400917,RTL,2,3,"Bubble Milk Tea",2661,,,35.00,42576.00,,LAN_Retail,93135
1057,6,2025-01-06,400917,RTL,5,1,Americano,2433,,,32.00,24330.00,,LAN_Retail,77856
1058,6,2025-01-06,400917,RTL,5,3,"Bubble Milk Tea",4042,,,38.00,64672.00,,LAN_Retail,153596
1059,6,2025-01-06,400917,RTL,6,1,Americano,649,,,32.00,6490.00,,LAN_Retail,20768
1060,6,2025-01-06,400917,RTL,6,2,"Hot Chocolate",1526,,,35.00,19838.00,,LAN_Retail,53410
1061,6,2025-01-06,400917,RTL,6,3,"Bubble Milk Tea",2763,,,38.00,44208.00,,LAN_Retail,104994
1075,6,2025-01-06,400918,RTL,6,1,Americano,281,,,32.00,2810.00,,LAN_Retail,8992
1076,6,2025-01-06,400918,RTL,6,2,"Hot Chocolate",897,,,34.00,11661.00,,LAN_Retail,30498
1077,6,2025-01-06,400918,RTL,6,3,"Bubble Milk Tea",1847,,,34.00,29552.00,,LAN_Retail,62798
1078,6,2025-01-06,400918,RTL,4,1,Americano,1299,,,20.00,12990.00,,LAN_Retail,25980
1079,6,2025-01-06,400918,RTL,4,2,"Hot Chocolate",7521,,,25.00,97773.00,,LAN_Retail,188025
1080,6,2025-01-06,400918,RTL,4,3,"Bubble Milk Tea",1765,,,28.00,28240.00,,LAN_Retail,49420
1081,6,2025-01-06,400918,RTL,1,1,Americano,5051,,,30.00,50510.00,,LAN_Retail,151530
1082,6,2025-01-06,400918,RTL,1,2,"Hot Chocolate",1857,,,35.00,24141.00,,LAN_Retail,64995
1083,6,2025-01-06,400918,RTL,1,3,"Bubble Milk Tea",802,,,35.00,12832.00,,LAN_Retail,28070
1084,6,2025-01-06,400918,RTL,7,1,Americano,1398,,,32.00,13980.00,,LAN_Retail,44736
1085,6,2025-01-06,400918,RTL,7,2,"Hot Chocolate",726,,,35.00,9438.00,,LAN_Retail,25410
1086,6,2025-01-06,400918,RTL,7,3,"Bubble Milk Tea",523,,,35.00,8368.00,,LAN_Retail,18305
1102,6,2025-01-06,400919,RTL,6,1,Americano,556,,,20.00,5560.00,,LAN_Retail,11120
1103,6,2025-01-06,400919,RTL,6,2,"Hot Chocolate",1685,,,20.00,21905.00,,LAN_Retail,33700
1104,6,2025-01-06,400919,RTL,6,3,"Bubble Milk Tea",2033,,,20.00,32528.00,,LAN_Retail,40660
1105,6,2025-01-06,400919,RTL,2,1,Americano,7388,,,20.00,73880.00,,LAN_Retail,147760
1106,6,2025-01-06,400919,RTL,2,3,"Bubble Milk Tea",2231,,,20.00,35696.00,,LAN_Retail,44620
1107,6,2025-01-06,400919,RTL,7,1,Americano,2738,,,20.00,27380.00,,LAN_Retail,54760
1108,6,2025-01-06,400919,RTL,7,2,"Hot Chocolate",1247,,,20.00,16211.00,,LAN_Retail,24940
1109,6,2025-01-06,400919,RTL,5,1,Americano,1391,,,20.00,13910.00,,LAN_Retail,27820
1110,6,2025-01-06,400919,RTL,5,2,"Hot Chocolate",1252,,,20.00,16276.00,,LAN_Retail,25040
1111,6,2025-01-06,400919,RTL,5,3,"Bubble Milk Tea",4136,,,20.00,66176.00,,LAN_Retail,82720
1112,6,2025-01-06,400919,RTL,4,1,Americano,1178,,,21.00,11780.00,,LAN_Retail,24738
1113,6,2025-01-06,400919,RTL,4,2,"Hot Chocolate",3466,,,35.00,45058.00,,LAN_Retail,121310
1114,6,2025-01-06,400919,RTL,4,3,"Bubble Milk Tea",1872,,,38.00,29952.00,,LAN_Retail,71136
1115,6,2025-01-06,400919,RTL,3,1,Americano,1717,,,32.00,17170.00,,LAN_Retail,54944
1116,6,2025-01-06,400919,RTL,3,2,"Hot Chocolate",425,,,35.00,5525.00,,LAN_Retail,14875
1117,6,2025-01-06,400919,RTL,3,3,"Bubble Milk Tea",2533,,,38.00,40528.00,,LAN_Retail,96254
1118,6,2025-01-06,400919,RTL,1,1,Americano,3916,,,32.00,39160.00,,LAN_Retail,125312
1119,6,2025-01-06,400919,RTL,1,2,"Hot Chocolate",1721,,,35.00,22373.00,,LAN_Retail,60235
1120,6,2025-01-06,400919,RTL,1,3,"Bubble Milk Tea",771,,,38.00,12336.00,,LAN_Retail,29298
1173,7,2025-01-07,400917,RTL,3,3,"Bubble Milk Tea",1099,,,36.00,17584.00,,LAN_Retail,39564
1174,7,2025-01-07,400917,RTL,1,1,Americano,1849,,,28.00,18490.00,,LAN_Retail,51772
1175,7,2025-01-07,400917,RTL,1,2,"Hot Chocolate",1024,,,30.00,13312.00,,LAN_Retail,30720
1176,7,2025-01-07,400917,RTL,7,1,Americano,818,,,32.00,8180.00,,LAN_Retail,26176
1177,7,2025-01-07,400917,RTL,7,2,"Hot Chocolate",422,,,35.00,5486.00,,LAN_Retail,14770
1178,7,2025-01-07,400917,RTL,2,1,Americano,1684,,,30.00,16840.00,,LAN_Retail,50520
1179,7,2025-01-07,400917,RTL,2,2,"Hot Chocolate",721,,,32.00,9373.00,,LAN_Retail,23072
1180,7,2025-01-07,400917,RTL,2,3,"Bubble Milk Tea",917,,,35.00,14672.00,,LAN_Retail,32095
1181,7,2025-01-07,400917,RTL,5,1,Americano,984,,,30.00,9840.00,,LAN_Retail,29520
1182,7,2025-01-07,400917,RTL,5,3,"Bubble Milk Tea",1339,,,36.00,21424.00,,LAN_Retail,48204
1183,7,2025-01-07,400917,RTL,6,1,Americano,175,,,32.00,1750.00,,LAN_Retail,5600
1184,7,2025-01-07,400917,RTL,6,2,"Hot Chocolate",439,,,35.00,5707.00,,LAN_Retail,15365
1185,7,2025-01-07,400917,RTL,6,3,"Bubble Milk Tea",793,,,38.00,12688.00,,LAN_Retail,30134
1201,7,2025-01-07,400918,RTL,6,1,Americano,95,,,20.00,950.00,,LAN_Retail,1900
1202,7,2025-01-07,400918,RTL,6,2,"Hot Chocolate",276,,,20.00,3588.00,,LAN_Retail,5520
1203,7,2025-01-07,400918,RTL,6,3,"Bubble Milk Tea",340,,,20.00,5440.00,,LAN_Retail,6800
1204,7,2025-01-07,400918,RTL,4,1,Americano,292,,,20.00,2920.00,,LAN_Retail,5840
1205,7,2025-01-07,400918,RTL,4,2,"Hot Chocolate",1375,,,25.00,17875.00,,LAN_Retail,34375
1206,7,2025-01-07,400918,RTL,4,3,"Bubble Milk Tea",450,,,28.00,7200.00,,LAN_Retail,12600
1207,7,2025-01-07,400918,RTL,1,1,Americano,803,,,30.00,8030.00,,LAN_Retail,24090
1208,7,2025-01-07,400918,RTL,1,2,"Hot Chocolate",285,,,35.00,3705.00,,LAN_Retail,9975
1209,7,2025-01-07,400918,RTL,1,3,"Bubble Milk Tea",121,,,35.00,1936.00,,LAN_Retail,4235
1210,7,2025-01-07,400918,RTL,7,1,Americano,219,,,32.00,2190.00,,LAN_Retail,7008
1211,7,2025-01-07,400918,RTL,7,2,"Hot Chocolate",106,,,35.00,1378.00,,LAN_Retail,3710
1212,7,2025-01-07,400918,RTL,7,3,"Bubble Milk Tea",81,,,35.00,1296.00,,LAN_Retail,2835
1228,7,2025-01-07,400919,RTL,6,1,Americano,100,,,20.00,1000.00,,LAN_Retail,2000
1229,7,2025-01-07,400919,RTL,6,2,"Hot Chocolate",263,,,20.00,3419.00,,LAN_Retail,5260
1230,7,2025-01-07,400919,RTL,6,3,"Bubble Milk Tea",371,,,20.00,5936.00,,LAN_Retail,7420
1231,7,2025-01-07,400919,RTL,2,1,Americano,1196,,,20.00,11960.00,,LAN_Retail,23920
1232,7,2025-01-07,400919,RTL,2,3,"Bubble Milk Tea",355,,,20.00,5680.00,,LAN_Retail,7100
1233,7,2025-01-07,400919,RTL,7,1,Americano,458,,,20.00,4580.00,,LAN_Retail,9160
1234,7,2025-01-07,400919,RTL,7,2,"Hot Chocolate",206,,,20.00,2678.00,,LAN_Retail,4120
1235,7,2025-01-07,400919,RTL,5,1,Americano,560,,,20.00,5600.00,,LAN_Retail,11200
1236,7,2025-01-07,400919,RTL,5,2,"Hot Chocolate",305,,,20.00,3965.00,,LAN_Retail,6100
1237,7,2025-01-07,400919,RTL,5,3,"Bubble Milk Tea",665,,,20.00,10640.00,,LAN_Retail,13300
1238,7,2025-01-07,400919,RTL,4,1,Americano,190,,,21.00,1900.00,,LAN_Retail,3990
1239,7,2025-01-07,400919,RTL,4,2,"Hot Chocolate",1319,,,22.00,17147.00,,LAN_Retail,29018
1240,7,2025-01-07,400919,RTL,4,3,"Bubble Milk Tea",338,,,23.00,5408.00,,LAN_Retail,7774
1241,7,2025-01-07,400919,RTL,3,1,Americano,540,,,21.00,5400.00,,LAN_Retail,11340
1242,7,2025-01-07,400919,RTL,3,2,"Hot Chocolate",209,,,20.00,2717.00,,LAN_Retail,4180
1243,7,2025-01-07,400919,RTL,3,3,"Bubble Milk Tea",482,,,22.00,7712.00,,LAN_Retail,10604
1244,7,2025-01-07,400919,RTL,1,1,Americano,1308,,,20.00,13080.00,,LAN_Retail,26160
1245,7,2025-01-07,400919,RTL,1,2,"Hot Chocolate",513,,,20.00,6669.00,,LAN_Retail,10260
1246,7,2025-01-07,400919,RTL,1,3,"Bubble Milk Tea",159,,,20.00,2544.00,,LAN_Retail,3180
1317,8,2025-01-08,400917,RTL,3,3,"Bubble Milk Tea",935,,,36.00,14960.00,,LAN_Retail,33660
1318,8,2025-01-08,400917,RTL,1,1,Americano,1812,,,28.00,18120.00,,LAN_Retail,50736
1319,8,2025-01-08,400917,RTL,1,2,"Hot Chocolate",1121,,,30.00,14573.00,,LAN_Retail,33630
1320,8,2025-01-08,400917,RTL,7,1,Americano,791,,,32.00,7910.00,,LAN_Retail,25312
1321,8,2025-01-08,400917,RTL,7,2,"Hot Chocolate",449,,,35.00,5837.00,,LAN_Retail,15715
1322,8,2025-01-08,400917,RTL,2,1,Americano,1622,,,30.00,16220.00,,LAN_Retail,48660
1323,8,2025-01-08,400917,RTL,2,2,"Hot Chocolate",568,,,33.00,7384.00,,LAN_Retail,18744
1324,8,2025-01-08,400917,RTL,2,3,"Bubble Milk Tea",709,,,34.00,11344.00,,LAN_Retail,24106
1325,8,2025-01-08,400917,RTL,5,1,Americano,870,,,30.00,8700.00,,LAN_Retail,26100
1326,8,2025-01-08,400917,RTL,5,3,"Bubble Milk Tea",1135,,,36.00,18160.00,,LAN_Retail,40860
1327,8,2025-01-08,400917,RTL,6,1,Americano,167,,,32.00,1670.00,,LAN_Retail,5344
1328,8,2025-01-08,400917,RTL,6,2,"Hot Chocolate",501,,,35.00,6513.00,,LAN_Retail,17535
1329,8,2025-01-08,400917,RTL,6,3,"Bubble Milk Tea",862,,,38.00,13792.00,,LAN_Retail,32756
1350,8,2025-01-08,400918,RTL,6,1,Americano,158,,,22.00,1580.00,,LAN_Retail,3476
1351,8,2025-01-08,400918,RTL,6,2,"Hot Chocolate",361,,,23.00,4693.00,,LAN_Retail,8303
1352,8,2025-01-08,400918,RTL,6,3,"Bubble Milk Tea",405,,,27.00,6480.00,,LAN_Retail,10935
1353,8,2025-01-08,400918,RTL,4,1,Americano,258,,,23.00,2580.00,,LAN_Retail,5934
1354,8,2025-01-08,400918,RTL,4,2,"Hot Chocolate",1109,,,22.00,14417.00,,LAN_Retail,24398
1355,8,2025-01-08,400918,RTL,4,3,"Bubble Milk Tea",402,,,25.00,6432.00,,LAN_Retail,10050
1356,8,2025-01-08,400918,RTL,1,1,Americano,1152,,,27.00,11520.00,,LAN_Retail,31104
1357,8,2025-01-08,400918,RTL,1,2,"Hot Chocolate",525,,,25.00,6825.00,,LAN_Retail,13125
1358,8,2025-01-08,400918,RTL,1,3,"Bubble Milk Tea",137,,,32.00,2192.00,,LAN_Retail,4384
1359,8,2025-01-08,400918,RTL,7,1,Americano,435,,,28.00,4350.00,,LAN_Retail,12180
1360,8,2025-01-08,400918,RTL,7,2,"Hot Chocolate",180,,,30.00,2340.00,,LAN_Retail,5400
1361,8,2025-01-08,400918,RTL,7,3,"Bubble Milk Tea",91,,,33.00,1456.00,,LAN_Retail,3003
1384,8,2025-01-08,400919,RTL,6,1,Americano,98,,,20.00,980.00,,LAN_Retail,1960
1385,8,2025-01-08,400919,RTL,6,2,"Hot Chocolate",276,,,20.00,3588.00,,LAN_Retail,5520
1386,8,2025-01-08,400919,RTL,6,3,"Bubble Milk Tea",357,,,20.00,5712.00,,LAN_Retail,7140
1387,8,2025-01-08,400919,RTL,2,1,Americano,1065,,,20.00,10650.00,,LAN_Retail,21300
1388,8,2025-01-08,400919,RTL,2,3,"Bubble Milk Tea",285,,,20.00,4560.00,,LAN_Retail,5700
1389,8,2025-01-08,400919,RTL,7,1,Americano,516,,,20.00,5160.00,,LAN_Retail,10320
